expiry_gap_hours,food_category,quantity_kg,storage_temp_c,donor_type,preparation_method,distance_to_ngo_km,donation_frequency,time_of_day,ambient_humidity,packaging_integrity,seasonal_indicator,urgency_class,food_category_enc,donor_type_enc,prep_method_enc,seasonal_enc,urgency_enc
46.97,Dairy Products,39.9,6.2,event,packaged,10.5,2,2.2,64.7,0.33,summer,Low,4,1,2,2,2
11.59,Dairy Products,42.0,7.9,supermarket,cooked,1.6,6,7.2,62.2,0.53,spring,High,4,4,0,1,1
55.55,Dairy Products,31.3,3.3,event,processed,6.2,15,16.7,38.3,0.39,winter,Low,4,1,3,3,2
37.42,Dairy Products,39.9,3.9,household,frozen,22.4,5,4.4,34.9,0.6,spring,Low,4,2,1,1,2
29.74,Dairy Products,8.2,3.0,supermarket,cooked,20.0,1,22.8,74.3,0.69,winter,Moderate,4,4,0,3,3
52.7,Dairy Products,28.5,2.3,household,processed,4.0,14,2.2,35.6,0.52,winter,Low,4,2,3,3,2
50.81,Dairy Products,5.3,4.8,corporate,frozen,5.6,5,9.5,67.0,0.74,winter,Low,4,0,1,3,2
19.15,Dairy Products,46.7,2.1,restaurant,processed,20.7,16,1.7,68.5,0.32,spring,High,4,3,3,1,1
46.0,Dairy Products,34.0,6.8,household,frozen,4.3,19,19.6,67.6,0.87,spring,Low,4,2,1,1,2
65.23,Dairy Products,3.9,3.2,supermarket,processed,3.3,3,8.0,69.3,0.57,winter,Low,4,4,3,3,2
2.16,Dairy Products,14.5,6.9,event,raw,21.1,13,22.4,32.4,0.59,summer,High,4,1,4,2,1
20.67,Dairy Products,37.7,3.1,household,cooked,22.1,4,8.9,76.6,0.54,winter,High,4,2,0,3,1
40.67,Dairy Products,34.2,3.4,restaurant,packaged,3.5,17,12.8,59.8,0.57,summer,Low,4,3,2,2,2
64.53,Dairy Products,1.0,4.3,restaurant,packaged,3.2,7,22.9,70.6,0.64,winter,Low,4,3,2,3,2
45.68,Dairy Products,15.0,4.7,restaurant,frozen,20.3,4,22.6,76.9,0.38,summer,Low,4,3,1,2,2
35.85,Dairy Products,27.7,2.3,corporate,packaged,26.7,11,16.9,88.1,0.78,winter,Moderate,4,0,2,3,3
44.7,Dairy Products,4.7,2.6,corporate,raw,12.2,2,1.9,35.1,0.99,spring,Low,4,0,4,1,2
62.21,Dairy Products,12.2,7.3,restaurant,processed,22.7,6,16.9,58.9,0.56,monsoon,Low,4,3,3,0,2
30.83,Dairy Products,6.0,7.4,household,processed,0.8,8,2.8,69.0,0.82,summer,Moderate,4,2,3,2,3
17.48,Dairy Products,24.1,4.4,restaurant,cooked,7.1,6,19.2,88.7,0.69,monsoon,High,4,3,0,0,1
64.22,Dairy Products,49.7,5.2,corporate,frozen,16.8,18,4.0,43.0,0.51,summer,Low,4,0,1,2,2
45.37,Dairy Products,45.1,5.5,restaurant,packaged,8.8,16,21.3,57.3,0.73,spring,Low,4,3,2,1,2
12.63,Dairy Products,19.7,5.9,event,raw,8.3,5,23.3,89.2,0.79,summer,High,4,1,4,2,1
20.5,Dairy Products,30.3,4.5,corporate,processed,27.4,6,22.7,73.5,0.73,winter,High,4,0,3,3,1
6.42,Dairy Products,27.8,7.3,corporate,cooked,23.4,18,23.6,39.0,0.72,monsoon,High,4,0,0,0,1
28.6,Dairy Products,28.7,7.0,restaurant,raw,1.6,1,0.3,34.5,0.78,summer,Moderate,4,3,4,2,3
71.98,Dairy Products,28.0,8.0,corporate,processed,28.4,10,9.0,44.5,0.44,summer,Low,4,0,3,2,2
68.71,Dairy Products,11.8,5.6,restaurant,raw,11.1,8,0.5,59.9,0.63,monsoon,Low,4,3,4,0,2
37.69,Dairy Products,27.8,7.1,corporate,packaged,12.4,16,11.5,55.2,0.85,winter,Low,4,0,2,3,2
50.84,Dairy Products,7.3,3.3,event,raw,10.8,2,15.2,63.3,0.36,winter,Low,4,1,4,3,2
25.4,Dairy Products,39.3,5.1,event,raw,25.9,5,19.0,57.6,0.89,summer,Moderate,4,1,4,2,3
18.96,Dairy Products,49.0,4.8,corporate,raw,10.2,11,13.9,50.5,0.68,monsoon,High,4,0,4,0,1
9.66,Dairy Products,7.4,2.9,event,frozen,10.7,3,20.9,60.9,0.98,summer,High,4,1,1,2,1
14.25,Dairy Products,8.9,2.2,event,raw,5.7,6,2.9,57.6,0.44,winter,High,4,1,4,3,1
9.71,Dairy Products,16.4,4.0,supermarket,cooked,14.7,15,12.2,39.4,0.56,summer,High,4,4,0,2,1
20.3,Dairy Products,37.5,6.8,corporate,frozen,6.7,14,14.8,52.1,0.62,summer,High,4,0,1,2,1
4.96,Dairy Products,7.1,2.9,household,packaged,16.2,13,20.7,51.2,0.58,spring,High,4,2,2,1,1
19.75,Dairy Products,1.5,4.3,restaurant,cooked,6.7,12,5.6,50.6,0.63,winter,High,4,3,0,3,1
56.93,Dairy Products,4.8,5.0,supermarket,cooked,17.2,10,6.8,51.8,0.75,winter,Low,4,4,0,3,2
17.97,Dairy Products,16.9,5.0,restaurant,cooked,0.7,6,8.7,59.3,0.9,winter,High,4,3,0,3,1
20.88,Dairy Products,44.9,3.0,household,packaged,1.0,5,23.5,36.7,0.58,spring,High,4,2,2,1,1
66.09,Dairy Products,48.8,2.0,household,cooked,21.7,11,13.7,46.8,0.84,winter,Low,4,2,0,3,2
69.71,Dairy Products,10.4,6.3,event,cooked,16.1,1,14.6,47.3,0.71,monsoon,Low,4,1,0,0,2
67.14,Dairy Products,29.9,3.9,supermarket,raw,16.7,10,23.7,49.3,0.87,summer,Low,4,4,4,2,2
10.43,Dairy Products,6.3,2.0,household,cooked,25.6,12,9.8,86.0,0.99,winter,High,4,2,0,3,1
13.46,Dairy Products,37.2,2.4,event,processed,4.6,9,17.9,78.0,0.88,summer,High,4,1,3,2,1
58.74,Dairy Products,26.4,6.0,event,cooked,26.4,18,19.5,56.3,0.56,monsoon,Low,4,1,0,0,2
45.12,Dairy Products,22.2,5.2,restaurant,cooked,11.0,15,9.2,62.6,0.93,monsoon,Low,4,3,0,0,2
39.31,Dairy Products,17.0,4.6,household,raw,4.6,15,21.0,59.7,0.82,monsoon,Low,4,2,4,0,2
56.88,Dairy Products,15.9,2.9,corporate,packaged,22.4,4,13.6,75.7,0.91,summer,Low,4,0,2,2,2
7.86,Dairy Products,19.3,5.2,corporate,frozen,12.2,8,3.6,43.8,0.81,winter,High,4,0,1,3,1
1.37,Dairy Products,28.5,5.6,supermarket,packaged,18.2,11,22.9,50.6,0.46,monsoon,Critical,4,4,2,0,0
33.53,Dairy Products,8.1,7.7,corporate,raw,18.5,15,17.4,65.6,0.37,spring,Moderate,4,0,4,1,3
50.31,Dairy Products,35.5,7.5,supermarket,cooked,17.5,9,10.1,74.2,0.95,winter,Low,4,4,0,3,2
65.61,Dairy Products,12.2,2.7,supermarket,frozen,4.2,1,20.8,61.1,0.71,summer,Low,4,4,1,2,2
27.62,Dairy Products,10.7,6.5,restaurant,processed,18.3,3,9.5,62.2,0.94,winter,Moderate,4,3,3,3,3
33.8,Dairy Products,46.0,4.9,household,packaged,13.8,19,5.9,64.7,0.42,summer,Moderate,4,2,2,2,3
65.91,Dairy Products,29.2,4.2,supermarket,frozen,6.8,17,4.3,87.7,0.4,winter,Low,4,4,1,3,2
62.04,Dairy Products,9.6,5.2,restaurant,processed,12.2,19,5.0,83.9,0.44,summer,Low,4,3,3,2,2
45.19,Dairy Products,41.9,4.3,household,raw,9.2,19,10.8,61.5,0.61,winter,Low,4,2,4,3,2
36.04,Dairy Products,5.6,6.6,corporate,packaged,11.5,10,21.4,61.6,0.86,monsoon,Low,4,0,2,0,2
11.66,Dairy Products,33.1,6.3,restaurant,cooked,7.0,8,2.5,78.0,0.42,summer,High,4,3,0,2,1
40.31,Dairy Products,40.4,6.3,household,frozen,28.4,14,7.0,83.8,0.31,monsoon,Low,4,2,1,0,2
53.12,Dairy Products,6.6,7.1,household,frozen,19.5,18,21.3,79.0,0.54,winter,Low,4,2,1,3,2
59.5,Dairy Products,2.2,4.2,event,processed,10.7,9,10.4,47.7,0.96,winter,Low,4,1,3,3,2
56.25,Dairy Products,28.5,2.7,household,cooked,14.8,17,6.4,62.5,0.74,monsoon,Low,4,2,0,0,2
16.09,Dairy Products,21.4,5.9,supermarket,raw,27.1,2,6.5,31.1,0.94,summer,High,4,4,4,2,1
58.78,Dairy Products,3.8,5.0,corporate,cooked,15.2,12,4.9,30.7,0.4,summer,Low,4,0,0,2,2
19.55,Dairy Products,12.9,6.4,corporate,cooked,15.1,10,21.9,55.1,0.57,winter,High,4,0,0,3,1
30.68,Dairy Products,48.0,4.1,restaurant,packaged,3.2,19,5.9,53.4,0.5,spring,Moderate,4,3,2,1,3
65.96,Dairy Products,30.7,6.3,supermarket,processed,14.8,4,12.9,39.7,0.89,summer,Low,4,4,3,2,2
35.99,Dairy Products,17.0,5.6,supermarket,raw,3.6,9,8.4,54.8,0.79,spring,Moderate,4,4,4,1,3
31.59,Dairy Products,41.0,3.5,corporate,frozen,21.0,6,14.1,51.7,0.36,monsoon,Moderate,4,0,1,0,3
69.29,Dairy Products,34.7,6.7,restaurant,frozen,16.5,19,17.5,78.4,0.76,winter,Low,4,3,1,3,2
46.06,Dairy Products,45.2,7.9,event,packaged,29.6,13,16.0,32.6,0.71,summer,Low,4,1,2,2,2
13.41,Dairy Products,45.8,5.4,corporate,cooked,6.2,8,23.2,86.7,0.63,winter,High,4,0,0,3,1
4.42,Dairy Products,26.4,4.7,restaurant,packaged,17.0,13,1.8,71.8,0.54,monsoon,High,4,3,2,0,1
29.42,Dairy Products,40.3,5.4,event,processed,20.0,13,15.0,83.2,0.73,winter,Moderate,4,1,3,3,3
30.35,Dairy Products,49.5,4.8,household,processed,16.1,3,1.7,30.6,0.34,summer,Moderate,4,2,3,2,3
29.24,Dairy Products,31.6,4.9,event,cooked,23.2,7,12.5,73.9,0.3,summer,Moderate,4,1,0,2,3
25.86,Dairy Products,15.2,3.7,corporate,cooked,8.7,14,1.1,36.6,0.57,spring,Moderate,4,0,0,1,3
16.11,Dairy Products,39.4,7.7,household,frozen,12.8,14,14.4,84.2,0.99,monsoon,High,4,2,1,0,1
71.37,Dairy Products,47.2,3.4,corporate,packaged,15.6,10,1.1,53.0,0.33,winter,Low,4,0,2,3,2
56.24,Dairy Products,3.4,4.1,restaurant,cooked,27.9,17,4.2,53.8,0.83,winter,Low,4,3,0,3,2
71.74,Dairy Products,23.4,7.4,corporate,processed,16.3,9,21.4,81.6,0.62,spring,Low,4,0,3,1,2
19.49,Dairy Products,44.5,2.8,restaurant,raw,25.9,9,7.9,85.9,0.81,winter,High,4,3,4,3,1
29.7,Dairy Products,13.4,4.2,corporate,raw,16.2,5,5.3,71.0,0.35,summer,Moderate,4,0,4,2,3
4.9,Dairy Products,26.0,7.3,household,raw,17.4,8,16.2,63.9,0.49,winter,High,4,2,4,3,1
37.77,Dairy Products,12.6,7.2,household,packaged,5.2,13,20.0,71.8,0.78,monsoon,Low,4,2,2,0,2
50.48,Dairy Products,44.1,3.1,corporate,raw,14.2,10,3.1,50.1,0.82,monsoon,Low,4,0,4,0,2
0.58,Dairy Products,38.0,5.3,event,raw,9.0,14,7.8,63.6,0.38,winter,Critical,4,1,4,3,0
45.83,Dairy Products,39.1,5.2,household,raw,13.3,2,8.2,68.0,0.95,summer,Low,4,2,4,2,2
56.9,Dairy Products,38.7,3.0,event,packaged,5.4,12,1.6,64.9,0.54,winter,Low,4,1,2,3,2
5.84,Dairy Products,49.5,7.1,corporate,frozen,22.6,3,14.2,53.0,0.35,summer,High,4,0,1,2,1
23.64,Dairy Products,38.6,4.9,supermarket,raw,5.2,2,23.8,55.6,0.62,monsoon,High,4,4,4,0,1
38.18,Dairy Products,15.3,7.0,supermarket,frozen,19.8,3,22.7,39.1,0.6,summer,Low,4,4,1,2,2
65.53,Dairy Products,48.2,7.1,household,cooked,13.5,1,7.7,73.5,0.82,monsoon,Low,4,2,0,0,2
2.73,Dairy Products,18.7,5.9,event,packaged,29.1,14,4.9,35.5,0.41,monsoon,High,4,1,2,0,1
60.9,Dairy Products,31.5,6.6,event,processed,27.4,3,4.4,57.7,0.3,monsoon,Low,4,1,3,0,2
9.45,Dairy Products,21.8,6.1,restaurant,frozen,2.4,2,19.1,48.6,0.62,spring,High,4,3,1,1,1
33.72,Dairy Products,20.1,6.1,household,processed,22.8,6,21.7,73.5,0.82,summer,Moderate,4,2,3,2,3
17.81,Dairy Products,7.6,7.9,event,frozen,10.7,8,0.2,49.6,0.66,summer,High,4,1,1,2,1
63.6,Dairy Products,41.3,2.5,supermarket,raw,29.3,14,16.6,79.3,0.33,spring,Low,4,4,4,1,2
7.98,Dairy Products,35.5,5.8,restaurant,cooked,2.0,9,16.9,82.3,0.8,winter,High,4,3,0,3,1
56.51,Dairy Products,24.5,5.7,household,frozen,16.8,6,19.5,57.1,0.75,summer,Low,4,2,1,2,2
12.23,Dairy Products,36.4,4.6,event,frozen,5.2,13,14.7,49.7,0.63,summer,High,4,1,1,2,1
13.52,Dairy Products,33.1,6.7,household,frozen,16.9,18,15.6,49.9,0.68,monsoon,High,4,2,1,0,1
47.0,Dairy Products,34.2,3.2,corporate,cooked,25.3,17,20.8,73.6,0.82,spring,Low,4,0,0,1,2
45.46,Dairy Products,38.5,6.4,event,raw,26.1,9,10.5,73.5,0.64,winter,Low,4,1,4,3,2
43.24,Dairy Products,32.9,6.8,household,packaged,8.9,12,9.2,57.9,0.89,summer,Low,4,2,2,2,2
9.91,Dairy Products,45.5,6.3,supermarket,frozen,11.5,2,4.3,81.3,0.64,winter,High,4,4,1,3,1
7.46,Dairy Products,29.8,4.4,restaurant,frozen,18.0,6,15.6,48.7,0.58,monsoon,High,4,3,1,0,1
47.46,Dairy Products,38.8,4.0,event,processed,7.5,11,21.1,56.5,0.53,summer,Low,4,1,3,2,2
24.6,Dairy Products,21.8,7.0,event,packaged,28.5,11,17.6,69.8,0.63,summer,Moderate,4,1,2,2,3
50.94,Dairy Products,43.3,4.7,event,packaged,3.8,18,23.6,37.4,0.46,winter,Low,4,1,2,3,2
3.31,Dairy Products,22.9,2.7,corporate,packaged,9.8,17,14.0,71.3,0.58,winter,High,4,0,2,3,1
69.51,Dairy Products,47.6,2.0,supermarket,processed,26.1,15,12.5,50.6,0.67,monsoon,Low,4,4,3,0,2
2.64,Dairy Products,35.4,3.8,supermarket,frozen,20.4,18,4.5,73.8,0.41,winter,High,4,4,1,3,1
62.57,Dairy Products,34.8,3.1,supermarket,packaged,20.7,18,5.8,79.9,0.91,summer,Low,4,4,2,2,2
2.67,Dairy Products,34.6,7.6,restaurant,cooked,6.9,16,19.8,70.0,0.7,winter,High,4,3,0,3,1
47.54,Dairy Products,2.9,8.0,restaurant,cooked,12.5,16,18.0,35.4,0.5,monsoon,Low,4,3,0,0,2
63.31,Dairy Products,16.7,4.4,household,raw,23.0,9,7.6,82.1,0.56,winter,Low,4,2,4,3,2
39.43,Dairy Products,16.6,2.0,event,raw,12.2,19,9.3,56.9,0.47,summer,Low,4,1,4,2,2
32.28,Dairy Products,29.6,2.1,supermarket,raw,14.2,3,13.0,87.1,0.89,spring,Moderate,4,4,4,1,3
2.33,Dairy Products,19.3,4.0,supermarket,processed,7.8,4,14.5,75.9,0.87,winter,High,4,4,3,3,1
51.66,Dairy Products,41.2,5.1,household,processed,27.0,4,22.2,33.6,0.95,winter,Low,4,2,3,3,2
14.41,Dairy Products,31.1,3.0,corporate,frozen,20.3,15,12.7,64.9,0.36,winter,High,4,0,1,3,1
51.7,Dairy Products,21.0,3.6,restaurant,packaged,4.1,12,4.3,61.5,0.8,spring,Low,4,3,2,1,2
57.23,Dairy Products,45.9,3.1,event,frozen,3.1,1,8.9,61.6,0.38,summer,Low,4,1,1,2,2
43.52,Dairy Products,44.3,6.9,restaurant,raw,6.8,10,4.2,51.6,0.93,spring,Low,4,3,4,1,2
25.77,Dairy Products,39.1,3.4,supermarket,packaged,25.6,7,16.0,35.7,0.74,summer,Moderate,4,4,2,2,3
30.81,Dairy Products,12.1,2.9,event,raw,14.5,17,4.3,48.7,0.46,monsoon,Moderate,4,1,4,0,3
39.59,Dairy Products,19.8,3.4,corporate,cooked,15.2,2,6.6,65.8,0.77,winter,Low,4,0,0,3,2
31.12,Dairy Products,34.8,6.3,event,packaged,18.3,6,13.8,46.4,0.36,spring,Moderate,4,1,2,1,3
46.64,Dairy Products,20.4,5.6,restaurant,packaged,10.6,7,1.7,61.1,0.35,summer,Low,4,3,2,2,2
5.5,Dairy Products,13.9,5.8,supermarket,packaged,16.2,3,4.5,33.1,0.56,winter,High,4,4,2,3,1
40.38,Dairy Products,23.5,6.4,event,raw,28.7,13,15.2,75.3,0.42,winter,Low,4,1,4,3,2
7.41,Dairy Products,37.9,4.7,restaurant,frozen,29.4,3,22.2,44.1,0.58,spring,High,4,3,1,1,1
1.93,Dairy Products,38.5,6.4,restaurant,cooked,20.3,6,6.1,77.3,0.91,summer,Critical,4,3,0,2,0
59.56,Dairy Products,35.6,6.7,event,cooked,7.2,13,8.6,35.3,0.96,summer,Low,4,1,0,2,2
36.95,Dairy Products,14.3,7.0,supermarket,frozen,26.3,6,22.0,59.8,0.99,summer,Low,4,4,1,2,2
28.46,Dairy Products,20.2,5.0,supermarket,processed,11.7,10,20.7,78.4,0.85,spring,Moderate,4,4,3,1,3
59.04,Dairy Products,1.6,3.9,household,raw,7.1,14,23.3,68.5,0.88,summer,Low,4,2,4,2,2
34.77,Dairy Products,30.5,3.9,restaurant,processed,9.9,3,9.5,38.8,0.56,spring,Moderate,4,3,3,1,3
34.69,Dairy Products,12.0,5.0,corporate,frozen,23.4,13,22.4,82.6,0.49,monsoon,Moderate,4,0,1,0,3
46.32,Dairy Products,31.2,3.3,event,packaged,11.9,5,18.7,57.6,0.34,monsoon,Low,4,1,2,0,2
54.43,Dairy Products,15.2,5.7,household,cooked,4.7,9,18.7,45.9,0.42,spring,Low,4,2,0,1,2
4.95,Dairy Products,49.8,5.1,restaurant,processed,18.6,4,12.6,55.6,0.39,spring,High,4,3,3,1,1
29.44,Dairy Products,18.0,5.9,household,frozen,14.7,7,17.5,76.2,0.31,winter,Moderate,4,2,1,3,3
10.07,Dairy Products,39.6,4.5,corporate,raw,20.6,7,14.8,49.4,0.88,summer,High,4,0,4,2,1
70.27,Dairy Products,48.0,6.8,event,cooked,3.7,11,10.9,80.7,0.37,winter,Low,4,1,0,3,2
9.59,Dairy Products,12.6,7.2,supermarket,packaged,11.6,6,9.4,87.4,0.39,spring,High,4,4,2,1,1
56.76,Dairy Products,34.6,3.9,event,processed,8.7,18,0.9,84.1,0.62,monsoon,Low,4,1,3,0,2
35.92,Dairy Products,22.8,4.3,restaurant,cooked,2.5,13,3.6,74.2,0.66,summer,Moderate,4,3,0,2,3
3.92,Dairy Products,37.4,2.2,restaurant,processed,24.2,3,0.3,87.4,0.82,winter,High,4,3,3,3,1
33.53,Dairy Products,48.6,7.9,household,packaged,6.0,11,9.8,63.0,0.88,spring,Moderate,4,2,2,1,3
19.45,Dairy Products,4.6,2.1,event,cooked,9.2,8,14.9,52.9,0.44,summer,High,4,1,0,2,1
18.76,Dairy Products,3.9,3.6,restaurant,raw,14.6,18,7.7,37.5,0.63,winter,High,4,3,4,3,1
43.53,Dairy Products,37.5,5.5,event,raw,4.3,15,2.6,65.9,0.37,spring,Low,4,1,4,1,2
31.39,Dairy Products,30.8,4.6,event,frozen,4.1,19,21.2,68.7,0.5,spring,Moderate,4,1,1,1,3
23.16,Dairy Products,13.3,7.3,supermarket,processed,22.8,8,17.9,63.5,0.43,spring,High,4,4,3,1,1
13.19,Dairy Products,49.2,5.3,event,processed,22.0,2,3.1,73.6,0.87,monsoon,High,4,1,3,0,1
35.42,Dairy Products,17.4,2.9,household,processed,17.9,3,7.1,63.9,0.78,monsoon,Moderate,4,2,3,0,3
41.77,Dairy Products,22.0,7.3,supermarket,raw,0.8,1,17.7,82.9,0.49,monsoon,Low,4,4,4,0,2
29.21,Dairy Products,10.6,6.8,supermarket,processed,22.1,7,14.7,71.3,0.56,summer,Moderate,4,4,3,2,3
40.13,Dairy Products,38.2,2.0,event,cooked,0.8,2,18.1,70.7,0.83,monsoon,Low,4,1,0,0,2
22.35,Dairy Products,49.8,7.3,event,processed,19.5,10,21.2,65.6,0.57,summer,High,4,1,3,2,1
0.63,Dairy Products,1.9,3.1,event,frozen,23.9,17,14.1,58.9,0.75,spring,Critical,4,1,1,1,0
7.95,Dairy Products,35.3,3.4,supermarket,raw,18.3,19,11.9,34.6,0.34,summer,High,4,4,4,2,1
53.83,Dairy Products,10.9,7.9,event,packaged,13.5,4,2.9,74.1,0.47,monsoon,Low,4,1,2,0,2
16.27,Dairy Products,36.9,5.6,household,cooked,28.0,13,4.1,68.3,0.65,monsoon,High,4,2,0,0,1
8.96,Dairy Products,42.1,4.5,household,cooked,28.5,5,4.4,51.7,0.53,summer,High,4,2,0,2,1
50.57,Dairy Products,29.5,5.5,restaurant,packaged,9.3,19,6.2,55.8,0.91,summer,Low,4,3,2,2,2
33.51,Dairy Products,22.0,4.9,corporate,frozen,4.4,4,1.2,84.2,0.94,spring,Moderate,4,0,1,1,3
52.66,Dairy Products,8.4,6.6,event,frozen,4.5,4,0.3,47.0,0.33,winter,Low,4,1,1,3,2
19.21,Dairy Products,45.4,3.5,supermarket,raw,25.4,6,1.6,59.3,0.32,spring,High,4,4,4,1,1
44.81,Dairy Products,17.6,5.4,supermarket,cooked,23.3,6,21.5,31.3,0.76,spring,Low,4,4,0,1,2
9.65,Dairy Products,20.0,7.3,supermarket,frozen,23.7,14,17.5,88.9,0.48,monsoon,High,4,4,1,0,1
52.35,Dairy Products,17.2,3.1,household,cooked,28.4,12,8.4,36.8,0.41,spring,Low,4,2,0,1,2
30.39,Dairy Products,34.3,2.5,restaurant,cooked,29.4,2,9.7,62.6,0.85,summer,Moderate,4,3,0,2,3
39.36,Dairy Products,23.2,2.5,restaurant,raw,5.4,2,15.9,43.0,0.37,spring,Low,4,3,4,1,2
29.94,Dairy Products,27.5,5.9,event,packaged,14.0,19,18.8,42.1,0.48,spring,Moderate,4,1,2,1,3
39.46,Dairy Products,37.8,6.6,corporate,frozen,26.2,9,13.4,75.0,0.69,winter,Low,4,0,1,3,2
5.16,Dairy Products,45.5,4.8,restaurant,raw,15.2,6,8.9,57.1,0.58,monsoon,High,4,3,4,0,1
55.96,Dairy Products,10.6,7.8,supermarket,frozen,23.9,4,6.6,48.7,0.75,monsoon,Low,4,4,1,0,2
65.93,Dairy Products,8.3,5.2,event,frozen,5.4,16,20.5,84.4,0.49,spring,Low,4,1,1,1,2
36.75,Dairy Products,2.2,5.6,corporate,frozen,24.7,5,10.5,66.9,0.36,spring,Low,4,0,1,1,2
8.91,Dairy Products,16.3,6.4,restaurant,processed,29.5,13,7.7,89.8,0.99,monsoon,High,4,3,3,0,1
12.1,Dairy Products,28.2,2.1,restaurant,frozen,21.7,2,5.0,52.7,0.98,spring,High,4,3,1,1,1
61.86,Dairy Products,27.3,6.9,household,frozen,9.8,11,21.5,69.1,0.52,spring,Low,4,2,1,1,2
35.84,Dairy Products,17.1,7.0,supermarket,processed,3.8,1,5.7,38.5,0.54,monsoon,Moderate,4,4,3,0,3
14.18,Dairy Products,22.1,5.7,restaurant,processed,24.3,15,6.1,31.9,0.82,winter,High,4,3,3,3,1
23.74,Dairy Products,3.9,6.1,restaurant,frozen,7.2,8,1.7,34.6,0.54,winter,High,4,3,1,3,1
37.15,Dairy Products,11.0,3.8,household,cooked,9.5,14,18.1,84.2,0.46,summer,Low,4,2,0,2,2
56.87,Dairy Products,13.4,6.0,restaurant,packaged,0.5,2,10.7,57.6,0.91,spring,Low,4,3,2,1,2
9.71,Dairy Products,40.2,4.5,household,frozen,1.0,8,17.7,85.1,0.5,spring,High,4,2,1,1,1
51.1,Dairy Products,41.4,7.8,household,cooked,25.3,13,23.0,73.6,0.51,monsoon,Low,4,2,0,0,2
38.59,Dairy Products,22.8,5.8,corporate,processed,2.5,17,5.8,30.7,0.63,summer,Low,4,0,3,2,2
59.45,Dairy Products,11.7,2.4,restaurant,frozen,2.4,8,21.0,49.8,0.54,spring,Low,4,3,1,1,2
